county,color,id
"Lee, FL",#2FC169,c12071
"Hendry, FL",#2FC169,c12051
"Collier, FL",#54CC84,c12021
"Monroe, FL",#2FC169,c12087
"Miami-Dade, FL",#2FC169,c12086
"Broward, FL",#2FC169,c12011
"Palm Beach, FL",#2FC169,c12099
"Sarasota, FL",#2FC169,c12115
"DeSoto, FL",#2FC169,c12027
"Glades, FL",#0CA44D,c12043
"Martin, FL",#2FC169,c12085
"St. Lucie, FL",#2FC169,c12111
"Indian River, FL",#2FC169,c12061
"Okeechobee, FL",#2FC169,c12093
"Highlands, FL",#54CC84,c12055
"Hardee, FL",#2FC169,c12049
"Manatee, FL",#2FC169,c12081
"Pinellas, FL",#2FC169,c12103
"Hillsborough, FL",#54CC84,c12057
"Hernando, FL",#2FC169,c12053
"Pasco, FL",#2FC169,c12101
"Osceola, FL",#2FC169,c12097
"Polk, FL",#2FC169,c12105
"Orange, FL",#2FC169,c12095
"Seminole, FL",#2FC169,c12117
"Lake, FL",#2FC169,c12069
"Sumter, FL",#FFFFFF,c12119
"Citrus, FL",#0CA44D,c12017
"Levy, FL",#2FC169,c12075
"Marion, FL",#2FC169,c12083
"Volusia, FL",#78D79E,c12127
"Brevard, FL",#2FC169,c12009
"Washington, FL",#2FC169,c12133
"Holmes, FL",#54CC84,c12059
"Walton, FL",#2FC169,c12131
"Okaloosa, FL",#2FC169,c12091
"Santa Rosa, FL",#2FC169,c12113
"Escambia, FL",#2FC169,c12033
"Calhoun, FL",#0CA44D,c12013
"Gulf, FL",#2FC169,c12045
"Franklin, FL",#2FC169,c12037
"Dixie, FL",#2FC169,c12029
"Gilchrist, FL",#0CA44D,c12041
"Alachua, FL",#0F934A,c12001
"Putnam, FL",#0F934A,c12107
"Flagler, FL",#2FC169,c12035
"St. Johns, FL",#2FC169,c12109
"Clay, FL",#0CA44D,c12019
"Bradford, FL",#2FC169,c12007
"Union, FL",#137046,c12125
"Suwannee, FL",#FFFFFF,c12121
"Lafayette, FL",#2FC169,c12067
"Taylor, FL",#FFFFFF,c12123
"Wakulla, FL",#2FC169,c12129
"Liberty, FL",#2FC169,c12077
"Gadsden, FL",#0CA44D,c12039
"Leon, FL",#2FC169,c12073
"Jefferson, FL",#2FC169,c12065
"Madison, FL",#2FC169,c12079
"Hamilton, FL",#2FC169,c12047
"Columbia, FL",#54CC84,c12023
"Baker, FL",#2FC169,c12003
"Duval, FL",#2FC169,c12031
"Nassau, FL",#2FC169,c12089
"Rabun, GA",#0F934A,c13241
"Towns, GA",#0CA44D,c13281
"Mitchell, GA",#2FC169,c13205
"Baker, GA",#2FC169,c13007
"Miller, GA",#2FC169,c13201
"Early, GA",#2FC169,c13099
"Seminole, GA",#2FC169,c13253
"Decatur, GA",#2FC169,c13087
"Grady, GA",#0CA44D,c13131
"Thomas, GA",#FFFFFF,c13275
"Brooks, GA",#2FC169,c13027
"Colquitt, GA",#54CC84,c13071
"Cook, GA",#54CC84,c13075
"Lanier, GA",#2FC169,c13173
"Lowndes, GA",#2FC169,c13185
"Echols, GA",#2FC169,c13101
"Clinch, GA",#0CA44D,c13065
"Atkinson, GA",#78D79E,c13003
"Berrien, GA",#2FC169,c13019
"Irwin, GA",#2FC169,c13155
"Tift, GA",#FFFFFF,c13277
"Worth, GA",#54CC84,c13321
"Dougherty, GA",#2FC169,c13095
"Calhoun, GA",#0CA44D,c13037
"Clay, GA",#0CA44D,c13061
"Quitman, GA",#0F934A,c13239
"Randolph, GA",#0F934A,c13243
"Terrell, GA",#FFFFFF,c13273
"Lee, GA",#2FC169,c13177
"Crisp, GA",#54CC84,c13081
"Turner, GA",#0CA44D,c13287
"Ben Hill, GA",#2FC169,c13017
"Coffee, GA",#54CC84,c13069
"Bacon, GA",#2FC169,c13005
"Wayne, GA",#2FC169,c13305
"Pierce, GA",#2FC169,c13229
"Brantley, GA",#2FC169,c13025
"Ware, GA",#2FC169,c13299
"Charlton, GA",#0CA44D,c13049
"Camden, GA",#0CA44D,c13039
"Glynn, GA",#0CA44D,c13127
"McIntosh, GA",#2FC169,c13191
"Heard, GA",#2FC169,c13149
"Haralson, GA",#2FC169,c13143
"Polk, GA",#2FC169,c13233
"Floyd, GA",#2FC169,c13115
"Chattooga, GA",#0CA44D,c13055
"Whitfield, GA",#2FC169,c13313
"Catoosa, GA",#0CA44D,c13047
"Walker, GA",#2FC169,c13295
"Dade, GA",#2FC169,c13083
"Long, GA",#2FC169,c13183
"Appling, GA",#0F934A,c13001
"Jeff Davis, GA",#2FC169,c13161
"Stewart, GA",#FFFFFF,c13259
"Webster, GA",#2FC169,c13307
"Sumter, GA",#FFFFFF,c13261
"Wilcox, GA",#54CC84,c13315
"Telfair, GA",#FFFFFF,c13271
"Wheeler, GA",#2FC169,c13309
"Dodge, GA",#2FC169,c13091
"Pulaski, GA",#0F934A,c13235
"Dooly, GA",#2FC169,c13093
"Macon, GA",#2FC169,c13193
"Schley, GA",#2FC169,c13249
"Marion, GA",#2FC169,c13197
"Chattahoochee, GA",#0CA44D,c13053
"Muscogee, GA",#2FC169,c13215
"Taylor, GA",#FFFFFF,c13269
"Talbot, GA",#FFFFFF,c13263
"Harris, GA",#2FC169,c13145
"Troup, GA",#0CA44D,c13285
"Carroll, GA",#0CA44D,c13045
"Paulding, GA",#2FC169,c13223
"Murray, GA",#2FC169,c13213
"Gordon, GA",#0CA44D,c13129
"Bartow, GA",#2FC169,c13015
"Cobb, GA",#54CC84,c13067
"Douglas, GA",#2FC169,c13097
"Coweta, GA",#54CC84,c13077
"Meriwether, GA",#2FC169,c13199
"Pike, GA",#2FC169,c13231
"Upson, GA",#137046,c13293
"Crawford, GA",#54CC84,c13079
"Peach, GA",#2FC169,c13225
"Houston, GA",#54CC84,c13153
"Bleckley, GA",#2FC169,c13023
"Laurens, GA",#2FC169,c13175
"Wilkinson, GA",#54CC84,c13319
"Twiggs, GA",#0CA44D,c13289
"Bibb, GA",#2FC169,c13021
"Baldwin, GA",#2FC169,c13009
"Jones, GA",#2FC169,c13169
"Monroe, GA",#2FC169,c13207
"Lamar, GA",#2FC169,c13171
"Spalding, GA",#2FC169,c13255
"Fayette, GA",#2FC169,c13113
"Clayton, GA",#0CA44D,c13063
"Butts, GA",#2FC169,c13035
"Henry, GA",#2FC169,c13151
"DeKalb, GA",#2FC169,c13089
"Fulton, GA",#2FC169,c13121
"Cherokee, GA",#0CA44D,c13057
"Pickens, GA",#2FC169,c13227
"Dawson, GA",#2FC169,c13085
"Forsyth, GA",#2FC169,c13117
"Gwinnett, GA",#2FC169,c13135
"Rockdale, GA",#2FC169,c13247
"Jasper, GA",#2FC169,c13159
"Newton, GA",#78D79E,c13217
"Walton, GA",#2FC169,c13297
"Barrow, GA",#2FC169,c13013
"Jackson, GA",#2FC169,c13157
"Clarke, GA",#0CA44D,c13059
"Oconee, GA",#0CA44D,c13219
"Morgan, GA",#2FC169,c13211
"Putnam, GA",#0F934A,c13237
"Hancock, GA",#2FC169,c13141
"Taliaferro, GA",#FFFFFF,c13265
"Greene, GA",#0CA44D,c13133
"Oglethorpe, GA",#0CA44D,c13221
"Wilkes, GA",#54CC84,c13317
