county,color
"Long, GA",#2FC169
"Appling, GA",#0F934A
"Jeff Davis, GA",#2FC169
"Stewart, GA",#FFFFFF
"Webster, GA",#2FC169
"Sumter, GA",#FFFFFF
"Wilcox, GA",#54CC84
"Telfair, GA",#FFFFFF
"Wheeler, GA",#2FC169
"Dodge, GA",#2FC169
"Pulaski, GA",#0F934A
"Dooly, GA",#2FC169
"Macon, GA",#2FC169
"Schley, GA",#2FC169
"Marion, GA",#2FC169
"Chattahoochee, GA",#0CA44D
"Muscogee, GA",#2FC169
"Taylor, GA",#FFFFFF
"Talbot, GA",#FFFFFF
"Harris, GA",#2FC169
"Troup, GA",#0CA44D
"Carroll, GA",#0CA44D
"Paulding, GA",#2FC169
"Murray, GA",#2FC169
"Gordon, GA",#0CA44D
"Bartow, GA",#2FC169
"Cobb, GA",#54CC84
"Douglas, GA",#2FC169
"Coweta, GA",#54CC84
"Meriwether, GA",#2FC169
"Pike, GA",#2FC169
"Upson, GA",#137046
"Crawford, GA",#54CC84
"Peach, GA",#2FC169
"Houston, GA",#54CC84
"Bleckley, GA",#2FC169
"Laurens, GA",#2FC169
"Wilkinson, GA",#54CC84
"Twiggs, GA",#0CA44D
"Bibb, GA",#2FC169
"Baldwin, GA",#2FC169
"Jones, GA",#2FC169
"Monroe, GA",#2FC169
"Lamar, GA",#2FC169
"Spalding, GA",#2FC169
"Fayette, GA",#2FC169
"Clayton, GA",#0CA44D
"Butts, GA",#2FC169
"Henry, GA",#2FC169
"DeKalb, GA",#2FC169
"Fulton, GA",#2FC169
"Cherokee, GA",#0CA44D
"Pickens, GA",#2FC169
"Dawson, GA",#2FC169
"Forsyth, GA",#2FC169
"Gwinnett, GA",#2FC169
"Rockdale, GA",#2FC169
"Jasper, GA",#2FC169
"Newton, GA",#78D79E
"Walton, GA",#2FC169
"Barrow, GA",#2FC169
"Jackson, GA",#2FC169
"Clarke, GA",#0CA44D
"Oconee, GA",#0CA44D
"Morgan, GA",#2FC169
"Putnam, GA",#0F934A
